"","place","africa_id","asia_id","europe_id","is_place"
"189","Sykai","","","7222885; 7222883",1
"190","Felix","1101375","6000351; 7002856; 7002857","7345442; 7666424; 1063904; 7347061; 7347362; 7004393; 7341428; 7341182; 7341162; 7342212; 7337924; 7338321; 7333458; 7336842; 7649310; 7335705; 7330446; 7331565; 7306064; 5002391; 7307781; 7301269; 5003480; 7302991; 7302500; 8706298; 7327743; 7327852; 7323783; 7323283; 1035313; 7612066; 7612065; 7612067; 7612069; 7612070; 7612064; 7612063; 7612062; 7612061; 7612060; 7612059; 7611990; 7611989; 7611988; 7611987; 7611986; 7611985; 7611984; 1046499; 7324589; 7324590; 7324417; 7324414; 7324411; 7004531; 7755417; 7755416; 7004527; 7297880; 7299401; 7294317; 7293919; 7295253",1
"191","Mongos","","","",0
"192","Mongos","","","",0
"193","Oasis","1005990; 1005991; 7024396; 1005992; 7523967; 1005993; 7535888; 7520379; 1005995; 1005996; 7536778; 7534651; 7539664; 7537954; 7001281","7030273","7224159",1
"194","Philoxenos","","","",0
"195","Euphemios","","","",0
"196","Euchaita","","1140786","",1
"197","Euphemios","","","",0
"198","Arianism","","","",0
"199","Anastasios","","7874179","",1
"200","Anastasios","","7874179","",1
"201","Roman","7538792","7903099","7346823; 7008674; 7026083; 7026041; 7032625; 7343896; 7344159; 7032560; 7333968; 7032567; 7335507; 7634143; 7032578; 7307106; 7300961; 7300793; 7303190; 7303328; 7326576; 7328079; 7327799; 7614718; 7323396; 7323221; 1026950; 7614784; 1050256; 1129171; 7323634; 7449207; 7006946; 7890901; 1106226; 7000874; 7605639; 7605640; 7598295; 7605641; 7605638; 7605637; 4009792; 7322943; 7102506; 7324072; 7322517; 7322506; 7322510; 7324073; 7322513; 7322512; 7322515; 7322516; 7322690; 7322507; 7322508; 7322509; 7322511; 7322505; 7322504; 7322503; 7322502; 7322501; 7322500; 7322499; 7322498; 7322497; 7322496; 7322495; 7322494; 7322493; 7325338; 8711966; 7033011; 1108723; 7299594; 7298697; 8697608; 7296212; 7293363; 7293311; 8711862",1
"202","Mesopotamia","","7001554","7235469; 7222823; 7222822; 7222821",1
"203","Dagalaiphos","","","",0
"204","Areobindos","","","",0
"205","Nisibis","","7002605; 7705714","",1
"206","Petra","","7873776; 7872398; 7882305; 7879761; 7880087; 7875020; 7873841; 7002383; 7873960; 7880086; 7872144; 7879210; 7874462; 7882609; 1113613; 7880084; 7874351","7234797; 7234796; 1031886; 7220160; 7235869; 7235861; 7225208; 7227778; 7219357; 7230664; 7230663; 7217324; 7217939; 7229942; 7222560; 7219387; 7225339; 7223477; 7225212; 7225220; 7225217; 7225213; 7225214; 7225216; 7225211; 7225215; 7221177; 7225218; 7225219; 7326368; 8706298; 7219135; 7597748; 7225193; 7217667; 7225170; 7326363; 7598218; 1009061; 7225194; 7220147; 7219386",1
"207","Helias","","","",0
"208","Magna","7520356; 7001218; 1095352; 7534549; 7001449; 7001448; 7000642; 7001297","","7027513; 7027516; 7452892; 7026069; 7455801; 1028822; 7027547; 7027546; 7025890; 7027893; 4004550; 7449342; 7462484; 7463117; 7027061; 7025909; 7461693; 1029864; 7457957; 7008331; 7457025; 4007241; 7027632; 7030503; 7027661; 1109632; 7443274; 7443048; 7443706; 1031131; 7027707",1
"209","Chalcedon","","7002469","",1
"210","Platanoi","","","7220612; 7223329",1
"211","Petrai","","","7225207; 7221036",1
"212","Makedonios","","","",0
"213","Timothy","","","",0
"214","John Nikaiotes","","","",0
"215","Christians","","","1006804",1
"216","Vitalian","","","",0
"217","St Mark","","","7593192",1
"218","St John","","","7031236; 8711928; 7030807; 7009702; 1026030; 1030598; 7031357; 7028651",1
"219","Kabades","","","",0
"220","Justin","","","7607401; 7607402",1
"221","Egypt","7014986; 7016833; 7532856; 7531269; 7594162; 7001436; 7029636; 7029635; 7029634; 7029631; 7029633; 7029632; 7001437","7963975","",1
"222","Zilgbi","","","",0
"223","Kouades","","","",0
"224","Tzitas","","","",0
"225","Bosphoros","","","",0
"226","Theoupolis","","","",0
"227","Belisarius","","","",0
"228","Indian","","7000198; 7000208; 7001713; 7572773","7008651; 1000163",1
"229","Persia","","7000231; 7024079","",1
"230","St Laurence","","","",0
"231","Libya","1000172; 7594179","7964162","",1
"232","Theuderich","","","",0
"233","Justinian","","7686116","",1
"234","Syracuse","","","1001753; 7003794; 7036799",1
"235","Libya","1000172; 7594179","7964162","",1
"236","Belisarius","","","",0
"237","Archelaos","","","",0
"238","Decimum","6000051","","",1
"239","Decimum","6000051","","",1
"240","Carthage","7016143","","7883010; 7883009",1
"241","Gelimer","","","",0
"242","Numidia","7030333","","",1
"243","Pharas","","7983675; 7943778; 7932193","",1
"244","Sardinia","","","4010106; 7040284; 7223643; 7003121",1
"245","Cadiz","","1084088","7002813; 7007512; 1112749; 1112355",1
"246","Atalarich","","","",0
"247","Gelimer","","","",0
"248","Solomon","7537681","7879242; 7882277; 7882289; 7882358; 1079199; 1100594; 1099914","",1
"249","Ildiger","","","",0
"250","Numidia","7030333","","",1
"251","Mauritania","6003780; 1000176","","",1
"252","Sergius","","","",0
"253","Pentapolis","7000643","","7226261",1
"254","Stotzas","","","",0
"255","Antalas","","","",0
"256","Gontharis","","","",0
"257","Koutzinas","","","",0
"258","Gontharis","","","",0
"259","Antalas","","","",0
"260","Areobindos","","","",0
"261","Gregory","","","7887739; 7450986; 7899016; 7447021",1
"262","Regas","","","",0
"263","Armenia","","7004538; 7593985; 7006651; 7002470; 7727672","7235209",1
"264","Europos","","7002270","",1
"265","Chosroes","","","",0
"266","Adad","1111503","7570011; 7925113; 7968223; 7738028; 1085031","",1
"267","Constantinople Totila","","","",0
"268","Palestine","","7033030; 7001519; 7004540; 7018359; 7964161","",1
"269","Scythia","","6005315","7024416",1
"270","Selymbria","","7016656; 7702331","",1
"271","St Diomedes","","","",0
"272","Arethas","","","",0
"273","Justin","","","7607401; 7607402",1
"274","Badouarios","","","",0
"275","Arzamon","","","",0
"276","Philippikos","","","",0
"277","Anchialos","","","7236630; 5002024",1
"278","Castus","","","",0
"279","Martin","","8032195; 7978933","",1
"280","Zardapa","","","",0
"281","Markianoupolis","","","",0
"282","Beioudes","","","",0
"283","Herakleios","","","",0
"284","Narses","","","",0
"285","Souania","","","",0
"286","Souania","","","",0
"287","Baram","","8171400; 7583169; 1074649; 1121683; 7946180; 8050879; 7904564; 7566234; 1010479; 7970955; 4005605; 7929605; 7967968","",1
"288","Hormisdas","","","",0
"289","Baram","","8171400; 7583169; 1074649; 1121683; 7946180; 8050879; 7904564; 7566234; 1010479; 7970955; 4005605; 7929605; 7967968","",1
"290","Pherochanes","","","",0
"291","Maurice","1000177; 7000714","","1032259; 7651667; 7642644; 8711673; 7641727; 7636579; 7638070; 7626105; 4007521; 7456635; 4009346; 7609698; 7609696; 7609697; 7609701; 7609627; 7609695; 1035456; 7609625; 7609699; 7597590; 7609700; 8699296; 7544518; 8706432; 7007300; 7609622; 7609621; 7609624; 7609620; 7609619; 7609618; 7609617; 7609616; 7609615; 7609614; 7609613; 7609612; 7609611; 7609610; 7609609; 7609608; 7609607; 7609606; 7609538; 7609537; 7609536; 7609535; 7609534; 7609533; 7609532; 7609531; 1035458; 7609529; 7609528; 7609527; 7609526; 7609525; 7609524; 7609523; 7609522; 7609521; 7609520; 7609519; 7609518; 7609517; 7609448; 7609623; 1035457; 7609446; 7609445; 7609444; 7609443; 7609442; 7609441; 7609440; 7609439; 7609438; 7609437; 7609436; 7609435; 7609434; 7609433; 7609432; 7609431",1
"292","Chosroes","","","",0
"293","Perinthos","","","7225607",1
"294","Priscus","","","",0
"295","Anchialos","","","7236630; 5002024",1
"296","St Alexander","","","",0
"297","Drizipera","","","",0
"298","Priscus","","","",0
"299","Novae","","","7009970; 1026963",1
